Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,labels
Anafiotika,37.9723318,23.7282579,Asclepeion (Ασκληπιείο),37.970650130997136,23.72668513593001,Historic Site,0
Anafiotika,37.9723318,23.7282579,Pandroseion (Πανδρόσειον),37.97207180055492,23.726175445569975,Historic Site,0
Anafiotika,37.9723318,23.7282579,Canellopoulos Museum (Μουσείο Κανελλοπούλου),37.97287001408032,23.725903630256653,History Museum,0
Ano Petralona,37.97046695,23.7129377997044,Άστερ,37.969003189332895,23.712712661958598,Meze Restaurant,0
Ano Petralona,37.97046695,23.7129377997044,Κύριος Χου,37.970516292543145,23.71260376487261,Café,0
Ano Petralona,37.97046695,23.7129377997044,Blue Bamboo,37.970062082360855,23.712482913247282,Thai Restaurant,0
Ano Petralona,37.97046695,23.7129377997044,Κλουβί,37.97006854359037,23.71251933059996,Bar,0
Ano Petralona,37.97046695,23.7129377997044,Paribaba,37.969269,23.712877,Cocktail Bar,0
Ano Petralona,37.97046695,23.7129377997044,Χρύσα Χρύσα,37.968273,23.713135,Modern Greek Restaurant,0
Ano Petralona,37.97046695,23.7129377997044,Botela,37.97008357077764,23.7133579137071,Cocktail Bar,0
Ano Petralona,37.97046695,23.7129377997044,Αντέτι,37.96917,23.712946,Meze Restaurant,0
Ano Petralona,37.97046695,23.7129377997044,Ταβέρνα του Διοματάρη,37.97115682305736,23.712995542752147,Cretan Restaurant,0
Ano Petralona,37.97046695,23.7129377997044,jug norris,37.970805,23.713094,Bar,0
Ano Petralona,37.97046695,23.7129377997044,Ταβέρνα του Οικονόμου,37.969773,23.71322,Taverna,0
Ano Petralona,37.97046695,23.7129377997044,Ασχημόπαπο,37.96874953861064,23.71424498973535,Greek Restaurant,0
Ano Petralona,37.97046695,23.7129377997044,Θεραπευτήριο,37.969619077759404,23.713790514710833,Greek Restaurant,0
Ano Petralona,37.97046695,23.7129377997044,το θείο τραγί,37.96950915712835,23.713428257130005,Gastropub,0
Ano Petralona,37.97046695,23.7129377997044,Λεμονανθός,37.969727,23.713129,Greek Restaurant,0
Ano Petralona,37.97046695,23.7129377997044,Karderina (Καρδερίνα),37.96859732291203,23.713486394915726,Tsipouro Restaurant,0
Ano Petralona,37.97046695,23.7129377997044,Gym Look,37.970638494533816,23.71110803081252,Gym,0
